Codigo_ruta;Tipo Dia;H_ Inicio Operaci?_1;H_ Fin  Operaci?_1
16_7;Habil;4:30:00;0:20:00
16_7;Sabado;5:00:00;0:20:00
16_7;Festivo;5:30:00;23:20:00
M83 Museo Nacional;Habil;4:30:00;23:00:00
M83 Museo Nacional;Sabado;5:00:00;22:30:00
M83 Museo Nacional;Festivo;5:30:00;21:30:00
H83 Usme Porvenir II;Habil;5:00:00;23:00:00
H83 Usme Porvenir II;Sabado;5:30:00;22:30:00
H83 Usme Porvenir II;Festivo;6:00:00;21:30:00
6 Portal 80;Habil;4:30:00;23:30:00
6 Portal 80;Festivo;5:30:00;22:00:00
J70 Aguas;Habil;5:30:00;9:00:00
H75 P.Usme;Habil;5:00:00;23:00:00
H75 P.Usme;Sabado;5:00:00;23:00:00
H75 P.Usme;Festivo;5:30:00;22:00:00
H73 P. Tunal;Habil;5:30:00;9:00:00
B72  Toberin;Habil;5:30:00;23:00:00
B72  Toberin;Sabado;5:30:00;23:00:00
H72 P. Usme;Habil;5:30:00;23:00:00
H72 P. Usme;Sabado;5:30:00;23:00:00
J74 Aguas;Habil;16:00:00;21:30:00
J74 Aguas;Sabado;6:30:00;9:00:00
A74 Calle 72;Habil;6:00:00;8:30:00
F14 P. Americas;Habil;5:30:00;22:00:00
F14 P. Americas;Sabado;6:00:00;22:00:00
F14 P. Americas;Festivo;5:30:00;22:00:00
B14 P. Norte;Habil;4:30:00;21:30:00
B14 P. Norte;Sabado;5:00:00;21:30:00
B14 P. Norte;Festivo;5:00:00;22:00:00
F28 P. AMERICAS;Habil;5:00:00;9:00:00
F28 P. AMERICAS;Sabado;5:00:00;9:00:00
D51 P. 80;Habil;5:30:00;8:30:00
H21 Portal Tunal;Habil;4:00:00;23:00:00
H21 Portal Tunal;Sabado;5:00:00;23:00:00
D21 Portal 80;Habil;4:00:00;23:00:00
D21 Portal 80;Sabado;5:00:00;23:00:00
D10 Portal 80;Habil;5:30:00;22:00:00
D10 Portal 80;Sabado;6:00:00;22:00:00
D10 Portal 80;Festivo;6:30:00;20:00:00
B10 Portal Norte;Habil;5:00:00;21:30:00
B10 Portal Norte;Sabado;5:30:00;21:30:00
B10 Portal Norte;Festivo;6:30:00;20:00:00
B55 HEROES;Habil;6:00:00;8:30:00
H20 PORTAL USME;Habil;5:00:00;22:00:00
H20 PORTAL USME;Sabado;6:00:00;20:00:00
D20 PORTAL 80;Habil;5:00:00;22:00:00
D20 PORTAL 80;Sabado;6:00:00;20:00:00
B50 P. NORTE;Habil;6:00:00;8:30:00
B23 ALCALA;Habil;5:00:00;22:00:00
B23 ALCALA;Sabado;5:30:00;22:00:00
B13 P. Norte;Habil;5:00:00;22:00:00
B13 P. Norte;Sabado;5:30:00;21:30:00
8 Terminal;Habil;4:30:00;23:00:00
8 Terminal;Sabado;5:00:00;23:20:00
8 Terminal;Festivo;5:30:00;22:00:00
6_5;Habil;4:00:00;9:00:00
6_5;Sabado;5:00:00;20:00:00
G42 - San Mateo;Festivo;5:30:00;22:40:00
K42 - Corferias;Festivo;5:00:00;22:00:00
6 Universidades;Habil;4:30:00;23:00:00
6 Universidades;Sabado;5:00:00;23:00:00
6 Universidades;Festivo;5:30:00;22:00:00
H51 P. Usme;Habil;6:00:00;9:00:00
B75 P. Norte ;Habil;4:30:00;23:00:00
B75 P. Norte ;Sabado;5:00:00;23:00:00
B75 P. Norte ;Festivo;5:30:00;22:00:00
D24 P.80;Habil;6:00:00;23:00:00
D24 P.80;Sabado;6:00:00;21:00:00
C29 PORTAL SUBA ;Habil;5:30:00;8:30:00
F29 PORTAL AMERICAS;Habil;5:30:00;8:30:00
L18 P. 20 de Julio;Habil;5:00:00;22:00:00
L18 P. 20 de Julio;Sabado;5:30:00;21:30:00
B18 Terminal;Habil;4:30:00;22:00:00
B18 Terminal;Sabado;5:00:00;21:30:00
D50 P. 80;Habil;5:30:00;8:30:00
F62 Americas;Habil;17:00:00;20:00:00
8 Guatoque;Habil;4:30:00;23:00:00
8 Guatoque;Sabado;5:00:00;23:00:00
8 Guatoque;Festivo;5:30:00;22:00:00
F19 Banderas;Habil;5:30:00;22:00:00
F19 Banderas;Sabado;6:00:00;22:00:00
F19 Banderas;Festivo;5:30:00;22:00:00
C19 P. Suba;Habil;5:30:00;22:00:00
C19 P. Suba;Sabado;6:00:00;22:00:00
C19 P. Suba;Festivo;5:30:00;22:00:00
H17 P. Usme;Habil;4:30:00;9:00:00
H17 P. Usme;Sabado;5:00:00;20:00:00
C17 P. Suba;Habil;5:00:00;9:00:00
C17 P. Suba;Sabado;5:00:00;20:00:00
B74 P. Norte;Habil;16:00:00;22:30:00
B74 P. Norte;Sabado;7:00:00;9:00:00
H27 P. Tunal;Habil;6:00:00;9:00:00
B27 P. Norte;Habil;5:30:00;9:00:00
H13 P. Tunal;Habil;5:30:00;22:00:00
H13 P. Tunal;Sabado;6:30:00;22:00:00
G52 Portal Sur;Habil;17:00:00;20:00:00
A52 Flores;Habil;5:30:00;8:00:00
2_3;Habil;4:30:00;0:30:00
2_3;Sabado;5:00:00;0:30:00
2_3;Festivo;5:30:00;23:30:00
F32 P.AMERICAS;Habil;16:30:00;20:00:00
E32 NQS-CL 75;Habil;5:00:00;8:30:00
G43 - SAN MATEO;Habil;5:00:00;23:00:00
G43 - SAN MATEO;Sabado;5:00:00;23:00:00
K43 - P. ELDORADO;Habil;4:00:00;23:00:00
K43 - P. ELDORADO;Sabado;4:30:00;23:00:00
C30 PORTAL SUBA;Habil;5:00:00;9:00:00
